client_name,campaign_id,campaign_type,industry,clicks,displays,spend,sales,order_value_euro,visits,start_day,end_day,CTR,CR,landing_rate,AOV,CPC,CPV,CPO,ROI
Client-2570,J9592J,Image Campaign,Robotics,35.0,11418.0,48.0,0.0,0.0,30.0,2023-03-29,2023-07-11,0.0030521849177398,0.0,0.8536585365853658,,1.3859394380314416,1.6235290559796889,,0.0
Client-421,41J4A4,Video Campaign,Robotics,22792.0,13371354.0,425.0,0.0,0.0,5534.0,2023-07-04,2023-07-19,0.0017045319100718,0.0,0.2428209144476766,,0.0186557800075615,0.076829378762518,,0.0
Client-1892,41P4SA,Video Campaign,Robotics,554430.0,57537803.0,2415.0,134.0,60446.0,222942.0,2023-08-03,2023-12-31,0.009635917094683,0.0002422309779692,0.4021110889662256,450.0835964832295,0.0043550147109435,0.010830377053614,17.978768642450383,25.0341725528699
Client-2486,J5S165,Video Campaign,Transportation,127622.0,2139177.0,2103.0,0.0,0.0,187.0,2022-08-17,2022-09-24,0.0596591778291947,0.0,0.0014652697761467,,0.0164789209639862,11.246339228617208,,0.0
Client-783,JA4J45,Video Campaign,Robotics,36570.0,11084228.0,1815.0,20.0,939.0,12204.0,2022-01-14,2022-05-04,0.0032993186949838,0.0005578281889178,0.3337207140200818,46.00916666666669,0.0496360246471395,0.1487352224835306,88.9808468507722,0.5170682039453686
Client-350,J4SJ11,Video Campaign,Robotics,25662.0,2756779.0,3334.0,26.0,1480.0,11427.0,2022-06-20,2022-07-19,0.0093085094082544,0.0009937065253395,0.4453130175554819,58.05766666666667,0.1299157800496273,0.2917403599894563,130.73857998994168,0.4440744780242627
Client-3406,4146J5,Video Campaign,Robotics,5380.0,3183032.0,323.0,19.0,1651.0,1941.0,2023-07-05,2023-08-26,0.0016903692215008,0.00347551342812,0.3608214849921011,88.27113924423986,0.0601218943892331,0.1666250400542231,17.298708703811165,5.1027588680531055
Client-3032,JAAAJ1,Image Campaign,Robotics,8571.0,1192462.0,6092.0,48.0,17409.0,5093.0,2022-02-24,2023-05-25,0.0071872703413008,0.0055539026083506,0.5942675790935238,365.7436412160397,0.7108478571882448,1.1961747236363605,127.99069542909058,2.857579920086214
Client-2921,J45J9S,Video Campaign,Robotics,98727.0,26244685.0,25429.0,150.0,24568.0,54814.0,2022-06-11,2022-08-30,0.003761776908353,0.001515295008997,0.555209257074964,164.2216477272728,0.2575741863021452,0.4639227156606426,169.98286457277194,0.9661070728512596
Client-1413,41A6J2,Image Campaign,Transportation,2708.0,355426.0,419.0,105.0,66169.0,2112.0,2023-09-06,2023-09-08,0.0076193118226082,0.0389202762084118,0.7799748901443817,627.7928225806452,0.15484007976004,0.1985193135273592,3.978391081576513,157.80068115673294
Client-4067,JPS92S,Image Campaign,Robotics,92657.0,14245003.0,4409.0,809.0,37455.0,80320.0,2022-12-27,2023-10-06,0.006504512517493,0.0087333039776897,0.86685380889476,46.28652222502659,0.0475840121185834,0.0548927761870863,5.4485693204018295,8.495169925013082
Client-4406,JP24S2,Image Campaign,Robotics,21363.0,3739686.0,15989.0,198.0,47875.0,13053.0,2022-12-05,2024-01-05,0.0057125245276251,0.0092706799824931,0.6110293239963395,241.7339055793993,0.7484630044315156,1.224921579109024,80.73442356385098,2.994186307507572
Client-468,JS2951,Image Campaign,Robotics,16361.0,1633679.0,559.0,151.0,1657.0,13960.0,2023-01-15,2023-04-26,0.0100146984221959,0.0092477140482128,0.8532834580216127,10.951401177962213,0.0341375544285878,0.040007284927025,3.6914586946149366,2.9666866363527262
Client-2364,J5P544,Video Campaign,Robotics,4981.0,2107714.0,12931.0,28.0,2361.0,1693.0,2022-08-11,2023-06-21,0.0023632234044612,0.0056313993174061,0.3399317406143344,84.15454545454547,2.5959666077381542,7.636729076980715,460.9807370104722,0.1825554490634469
Client-4407,291J4S,Image Campaign,Robotics,15982.0,1881404.0,4515.0,233.0,8816.0,11226.0,2022-01-23,2022-08-06,0.0084945622512894,0.0145729177747048,0.7024252739070311,37.85167883211679,0.2824941583471563,0.4021696952557911,19.38487286585121,1.9526400350449076
Client-3713,JS59PA,Image Campaign,Transportation,112520.0,16746318.0,30996.0,399.0,228000.0,46234.0,2023-01-31,2024-01-05,0.0067191156675938,0.0035429115329702,0.4108946418184427,571.9305445120226,0.2754661387627974,0.6704057700623763,77.7513455245263,7.355892565635533
Client-1723,2S6J4P,Video Campaign,Robotics,2281.0,569482.0,46.0,0.0,0.0,0.0,2022-01-09,2022-01-13,0.0040060957134477,0.0,0.0,,0.0201508551020175,,,0.0
Client-76,J5S411,Image Campaign,Transportation,11158.0,3121645.0,15765.0,55.0,134463.0,7593.0,2022-08-17,2023-10-12,0.0035743819711952,0.0049516264188314,0.6805058276834006,2433.712423486686,1.412867872201534,2.0762024581204006,285.33410089830056,8.52934302568383
Client-1748,JSSJPJ,Image Campaign,Robotics,137.0,22277.0,43.0,1.0,92.0,84.0,2023-02-13,2023-02-17,0.0061431623931623,0.0062111801242236,0.6149068322981367,108.341,0.3142805923128165,0.5111027814380148,50.59917536236346,2.1411613771197127
Client-2642,J6A61J,Video Campaign,Transportation,83274.0,42813879.0,42893.0,0.0,0.0,32179.0,2022-09-09,2022-10-26,0.0019450153227357,0.0,0.3864283599914259,,0.5150887017810597,1.3329474622216877,,0.0
Client-443,4ASPAP,Video Campaign,Robotics,9439.0,1372455.0,1398.0,58.0,4834.0,3706.0,2023-06-09,2023-07-19,0.0068776387248529,0.0061233678523187,0.3926159387663215,83.62676470588235,0.1480620188972028,0.3771166788654672,24.17983411549173,3.458533433540129
Client-1335,J66ASP,Image Campaign,Robotics,175319.0,22007013.0,38907.0,5817.0,3021162.0,148056.0,2022-10-29,2024-01-05,0.0079665194369355,0.0331768949568016,0.8444908803537318,519.4079612057302,0.2219228619435369,0.2627889384081686,6.689078716754352,77.65014932545976
Client-865,J1S9P9,Video Campaign,Robotics,162907.0,19560079.0,23128.0,298.0,86182.0,64257.0,2022-01-14,2022-09-24,0.0083285321854497,0.0018314158253111,0.3944379223083144,288.8607407407407,0.1419683836405575,0.3599257972198403,77.51837768270954,3.726351729432168
Client-1146,J24P52,Image Campaign,Robotics,53.0,8049.0,4.0,0.0,0.0,23.0,2022-01-23,2022-01-25,0.0065476819093885,0.0,0.4354838709677419,,0.0723955426502582,0.1662416164561485,,0.0
Client-689,JP29S4,Image Campaign,Robotics,6873.0,635229.0,2433.0,111.0,62372.0,5073.0,2022-12-02,2023-01-08,0.010819880962576,0.0162008409596834,0.7380657927281722,560.1429770992366,0.3539261910751893,0.4795320343555598,21.846161687282297,25.6403383403192
Client-101,JS66A5,Video Campaign,Transportation,15617.0,1609003.0,3226.0,0.0,0.0,5623.0,2023-02-07,2023-03-25,0.0097060400592727,0.0,0.3600391879388233,,0.2065924079209108,0.5738053379789713,,0.0
Client-1037,JS5P9P,Video Campaign,Transportation,8344.0,1027929.0,450.0,3.0,892.0,4866.0,2023-01-30,2023-02-19,0.0081169045949486,0.0004074979625101,0.5832314588427058,262.4042753219726,0.0539359962896458,0.0924778584417753,132.3589348947909,1.9825203000504024
Client-1397,SJ1S1,Image Campaign,Robotics,169039.0,17647665.0,71441.0,4319.0,339289.0,128171.0,2023-01-28,2023-10-20,0.0095785277294883,0.0255494823225339,0.7582328065208755,78.55995079708727,0.4226318081258845,0.5573905593258562,16.541697510369325,4.749207313689614
